sensor_id,timestamp,ubicacion,temperatura_c,humedad_pct,velocidad_viento_ms,presion_hpa,seeing_arcsec,transparencia
SENS-003,2024-03-03T22:25:00,Este,13.87,4.7,3.74,743.67,0.59,0.931
SENS-005,2024-03-05T18:35:00,Centro,16.34,12.5,4.47,743.0,0.805,0.687
SENS-003,2024-03-01T13:05:00,Este,13.43,11.1,4.79,748.03,0.776,0.655
SENS-004,2024-03-06T03:40:00,Oeste,13.26,5.8,5.68,745.71,0.898,0.69
SENS-004,2024-03-05T13:35:00,Oeste,16.77,18.4,8.24,744.11,0.577,0.783
SENS-002,2024-03-06T01:55:00,Sur,15.7,5.9,4.13,747.76,1.145,0.712
SENS-005,2024-03-02T16:15:00,Centro,15.84,7.5,6.02,747.21,0.556,0.662
SENS-001,2024-03-07T05:25:00,Norte,15.49,15.1,4.84,745.23,0.472,0.68
SENS-003,2024-03-04T11:50:00,Este,17.77,4.9,4.48,743.94,0.691,0.819
SENS-002,2024-03-04T21:10:00,Sur,16.27,11.9,7.29,744.48,0.398,0.776
SENS-004,2024-03-06T04:40:00,Oeste,14.86,11.6,6.44,740.85,0.915,0.946
SENS-001,2024-03-04T17:00:00,Norte,17.0,5.8,5.35,746.76,0.508,0.896
SENS-001,2024-03-01T08:00:00,Norte,16.44,19.5,3.39,745.59,0.708,0.74
SENS-005,2024-03-03T18:25:00,Centro,17.26,19.6,6.17,746.39,0.792,0.727
SENS-003,2024-03-02T07:05:00,Este,20.68,6.2,8.1,746.16,0.601,0.75
SENS-003,2024-03-05T20:20:00,Este,17.46,9.0,7.48,740.88,0.733,0.941
SENS-001,2024-03-02T13:30:00,Norte,15.17,11.8,3.57,739.64,0.773,0.774
SENS-004,2024-03-03T18:30:00,Oeste,16.83,9.6,3.61,740.06,0.729,0.85
SENS-005,2024-03-02T05:50:00,Centro,16.38,6.0,3.13,744.23,0.844,0.79
SENS-001,2024-03-02T18:30:00,Norte,15.98,18.8,7.05,745.17,0.751,0.7
SENS-003,2024-03-07T05:10:00,Este,14.98,10.5,4.53,740.77,-1.246,0.824
SENS-004,2024-03-05T09:45:00,Oeste,16.71,17.3,1.45,741.67,0.649,0.997
SENS-001,2024-03-04T21:25:00,Norte,15.95,11.7,4.55,740.49,0.913,0.816
SENS-001,2024-03-03T15:10:00,Norte,15.51,4.5,2.94,744.6,0.748,0.85
SENS-004,2024-03-03T05:25:00,Oeste,15.94,14.2,3.92,743.94,0.929,0.791
SENS-005,2024-03-03T15:00:00,Centro,16.55,12.8,3.48,744.47,0.734,0.675
SENS-002,2024-03-06T07:45:00,Sur,15.38,18.8,7.2,742.74,1.08,0.888
SENS-001,2024-03-02T16:15:00,Norte,16.74,16.3,5.02,740.47,0.8,0.879
SENS-002,2024-03-02T09:55:00,Sur,18.72,16.1,4.52,746.38,0.311,0.735
SENS-005,2024-03-04T13:50:00,Centro,17.13,13.2,5.55,746.02,0.43,0.721
SENS-001,2024-03-01T21:35:00,Norte,15.23,10.5,1.17,746.45,0.677,0.734
SENS-004,2024-03-06T12:00:00,Oeste,15.24,15.7,6.05,744.96,0.756,0.987
SENS-001,2024-03-01T02:35:00,Norte,13.51,15.1,6.68,743.12,0.357,0.911
SENS-001,2024-03-01T02:55:00,Norte,13.69,19.0,6.31,744.69,0.825,0.988
SENS-001,2024-03-07T18:45:00,Norte,17.23,14.4,4.94,747.73,0.829,0.944
SENS-002,2024-03-07T18:25:00,Sur,17.76,4.9,3.94,743.81,0.689,0.723
SENS-003,2024-03-06T20:00:00,Este,15.02,18.0,9.64,740.9,0.507,0.653
SENS-002,2024-03-03T01:20:00,Sur,15.72,8.6,6.23,741.64,0.577,0.807
SENS-005,2024-03-01T00:40:00,Centro,18.16,15.9,6.14,740.73,0.592,0.817
SENS-002,2024-03-02T19:15:00,Sur,17.67,3.9,4.57,745.23,0.809,0.881
SENS-001,2024-03-05T08:30:00,Norte,16.77,16.8,5.18,747.78,0.875,0.894
SENS-001,2024-03-05T04:40:00,Norte,19.7,18.6,3.14,744.7,0.87,0.746
SENS-002,2024-03-07T04:20:00,Sur,16.62,10.3,5.13,744.09,0.665,0.677
SENS-001,2024-03-06T20:15:00,Norte,17.24,11.7,5.54,743.84,0.852,0.719
SENS-001,2024-03-07T21:05:00,Norte,17.79,14.9,5.96,742.74,0.894,0.756
SENS-005,2024-03-07T21:20:00,Centro,15.73,119.5,2.14,744.57,0.699,0.943
SENS-005,2024-03-07T05:35:00,Centro,15.58,6.6,7.28,741.85,0.291,0.751
SENS-001,2024-03-03T01:10:00,Norte,18.56,19.3,5.58,746.52,1.331,0.68
SENS-005,2024-03-07T10:30:00,Centro,16.79,16.9,6.03,744.92,0.727,0.983
SENS-001,2024-03-05T05:25:00,Norte,16.76,14.5,2.92,740.95,0.466,0.933
SENS-005,2024-03-03T09:05:00,Centro,18.56,6.6,9.22,747.94,0.53,0.724
SENS-004,2024-03-04T01:10:00,Oeste,17.04,15.9,2.29,741.44,0.742,0.723
SENS-001,2024-03-03T08:05:00,Norte,15.73,5.0,6.39,745.37,0.568,0.975
SENS-003,2024-03-05T10:35:00,Este,13.94,13.0,0.78,742.24,0.66,0.719
SENS-003,2024-03-01T00:15:00,Este,18.4,4.5,5.05,745.21,0.545,0.766
SENS-005,2024-03-02T23:05:00,Centro,16.54,17.6,5.42,742.58,0.558,2.634
SENS-001,2024-03-01T06:40:00,Norte,18.39,9.7,1.61,747.22,0.606,0.772
SENS-005,2024-03-03T16:15:00,Centro,17.76,17.8,6.46,741.09,0.814,0.703
SENS-003,2024-03-06T13:50:00,Este,17.43,5.4,3.3,748.09,0.142,0.668
SENS-003,2024-03-03T14:05:00,Este,13.81,124.9,3.44,747.87,0.312,0.976
SENS-005,2024-03-04T20:25:00,Centro,17.33,16.5,6.07,745.08,0.641,0.664
SENS-001,2024-03-02T17:40:00,Norte,16.12,6.6,5.68,744.05,0.723,0.77
SENS-003,2024-03-02T16:20:00,Este,15.48,9.7,7.66,746.81,0.717,0.713
SENS-005,2024-03-04T10:55:00,Centro,15.24,8.7,3.85,743.72,1.114,0.763
SENS-003,2024-03-06T02:35:00,Este,16.54,13.2,5.71,739.5,0.721,0.959
SENS-001,2024-03-03T15:25:00,Norte,16.79,13.3,7.77,745.61,0.26,0.893
SENS-003,2024-03-07T03:55:00,Este,15.43,16.0,1.66,745.47,0.633,0.753
SENS-002,2024-03-01T17:30:00,Sur,18.09,8.8,3.55,740.21,0.283,0.899
SENS-001,2024-03-03T18:10:00,Norte,17.19,4.1,1.21,744.83,0.698,0.817
SENS-002,2024-03-02T00:00:00,Sur,16.51,6.4,5.91,748.31,0.824,0.975
SENS-001,2024-03-07T16:15:00,Norte,13.94,19.0,4.29,745.49,0.69,0.829
SENS-003,2024-03-07T04:50:00,Este,14.29,4.2,5.71,748.28,1.076,0.665
SENS-004,2024-03-05T10:30:00,Oeste,17.44,17.9,4.8,748.58,0.992,0.948
SENS-002,2024-03-02T15:10:00,Sur,18.99,3.5,4.86,745.02,1.079,0.779
SENS-001,2024-03-04T20:35:00,Norte,14.65,5.3,4.3,741.31,0.896,2.914
SENS-003,2024-03-04T15:30:00,Este,16.23,17.9,4.91,747.21,1.234,0.696
SENS-001,2024-03-06T19:10:00,Norte,16.21,4.4,5.95,745.11,0.598,0.87
SENS-005,2024-03-01T20:10:00,Centro,15.52,8.2,6.17,742.97,-1.53,0.789
SENS-003,2024-03-05T17:25:00,Este,15.03,3.5,4.52,741.61,0.841,0.812
SENS-005,2024-03-06T15:30:00,Centro,14.57,18.0,5.56,742.65,0.426,0.74
SENS-001,2024-03-01T14:05:00,Norte,18.59,3.8,2.1,745.92,0.509,0.659
SENS-005,2024-03-03T05:30:00,Centro,17.79,18.5,10.43,748.08,0.451,0.889
SENS-001,2024-03-02T20:20:00,Norte,17.33,12.0,4.1,744.84,0.177,0.755
SENS-003,2024-03-06T09:55:00,Este,16.34,9.3,8.56,745.59,0.692,0.698
SENS-002,2024-03-06T00:40:00,Sur,19.33,18.9,3.21,746.66,0.947,0.753
SENS-004,2024-03-07T17:10:00,Oeste,16.97,17.3,5.36,744.08,0.974,0.995
SENS-003,2024-03-01T04:25:00,Este,17.31,14.0,7.76,743.75,0.542,0.993
SENS-002,2024-03-04T01:00:00,Sur,16.72,17.2,7.72,742.19,0.322,0.913
SENS-002,2024-03-02T06:00:00,Sur,16.32,14.6,5.65,746.52,0.71,0.781
SENS-004,2024-03-03T23:30:00,Oeste,17.42,18.9,4.85,745.79,0.486,0.662
SENS-002,2027-11-11T19:20:00,Sur,17.7,15.9,6.85,748.54,0.484,0.785
SENS-004,2024-03-06T21:40:00,Oeste,-999.0,14.1,3.57,744.34,0.494,0.976
SENS-003,2024-03-04T00:15:00,Este,15.91,6.7,7.54,749.44,0.808,0.785
SENS-004,2024-03-02T16:15:00,Oeste,15.37,10.2,4.44,745.59,0.507,0.78
SENS-003,2024-03-03T18:00:00,Este,17.95,12.1,6.75,748.98,0.696,0.936
SENS-005,2024-03-03T00:15:00,Centro,17.4,10.7,2.69,742.54,0.893,1.772
SENS-003,2024-03-06T10:05:00,Este,15.96,5.1,3.69,744.86,0.207,0.942
SENS-004,2024-03-04T04:40:00,Oeste,16.12,11.5,7.96,745.92,0.784,0.706
SENS-002,2024-03-01T13:45:00,Sur,18.41,5.6,7.01,743.92,0.017,0.774
SENS-005,2024-03-02T08:15:00,Centro,16.12,11.0,5.0,743.75,0.77,0.852
SENS-003,2024-03-05T14:05:00,Este,15.68,11.0,6.43,744.7,0.374,0.814
SENS-002,2024-03-04T16:40:00,Sur,14.03,16.2,4.63,744.38,0.916,0.884
SENS-004,2024-03-06T11:45:00,Oeste,16.69,16.3,7.68,741.39,0.772,0.772
SENS-003,2024-03-06T11:25:00,Este,14.58,18.8,3.63,746.57,0.446,0.878
SENS-004,2024-03-07T16:10:00,Oeste,17.26,5.9,3.65,746.04,0.828,0.962
SENS-002,2024-03-03T14:20:00,Sur,15.65,8.9,5.54,746.86,0.407,0.822
SENS-004,2024-03-05T12:45:00,Oeste,17.25,14.8,5.99,745.42,0.588,0.977
SENS-004,2024-03-04T04:10:00,Oeste,16.52,17.1,3.42,745.09,0.866,0.795
SENS-002,2024-03-02T11:15:00,Sur,16.9,8.3,3.58,745.08,0.253,0.862
SENS-002,2024-03-06T00:25:00,Sur,17.01,6.6,6.02,744.89,0.77,0.949
SENS-004,2024-03-01T02:30:00,Oeste,16.73,11.7,7.57,747.19,0.477,0.829
SENS-005,2024-03-05T11:25:00,Centro,15.76,9.7,3.48,746.44,0.816,0.825
SENS-001,2024-03-01T03:15:00,Norte,13.23,16.8,3.33,745.76,0.704,0.97
SENS-003,2024-03-06T02:00:00,Este,16.9,10.5,8.02,748.3,0.837,0.693
SENS-005,2024-03-04T06:10:00,Centro,-999.0,15.3,7.6,743.11,0.911,0.998
SENS-004,2024-03-01T07:15:00,Oeste,18.35,11.0,6.97,742.63,0.362,0.768
SENS-005,2024-03-04T20:50:00,Centro,16.18,16.7,5.48,747.13,0.497,0.855
SENS-002,2024-03-03T02:45:00,Sur,10.42,9.2,9.74,749.25,0.851,0.977
SENS-001,2024-03-03T11:25:00,Norte,15.93,3.7,4.02,746.58,0.171,0.95
SENS-005,2024-03-01T05:35:00,Centro,14.81,11.9,5.33,742.64,0.641,0.769
SENS-001,2024-03-02T01:20:00,Norte,13.62,11.4,4.02,743.75,0.888,0.711
SENS-001,2024-03-04T16:00:00,Norte,13.4,18.5,4.56,741.52,0.278,0.784
SENS-005,2024-03-05T19:20:00,Centro,14.41,16.9,4.27,746.62,0.76,0.878
SENS-001,2024-03-06T15:30:00,Norte,16.68,10.7,8.19,745.82,0.04,0.981
SENS-004,2024-03-01T10:25:00,Oeste,14.83,17.8,4.04,746.58,0.4,0.662
SENS-004,2024-03-07T08:35:00,Oeste,16.36,8.5,4.93,746.69,1.058,0.987
SENS-003,2024-03-07T00:55:00,Este,16.13,13.0,5.57,742.86,0.974,0.726
SENS-003,2024-03-02T02:25:00,Este,15.07,14.9,7.5,742.85,0.716,0.868
SENS-004,2024-03-06T04:00:00,Oeste,15.5,14.2,8.04,740.55,0.596,0.76
SENS-003,2024-03-06T23:10:00,Este,14.77,5.5,8.87,745.54,-1.686,0.734
SENS-004,2024-03-05T04:00:00,Oeste,11.9,3.4,3.11,749.64,0.55,0.712
SENS-005,2024-03-02T08:30:00,Centro,17.82,10.1,4.38,743.57,0.667,0.972
SENS-005,2024-03-03T21:30:00,Centro,20.0,16.9,5.22,745.48,0.619,0.679
SENS-005,2024-03-05T10:30:00,Centro,16.25,14.2,8.75,746.93,0.849,0.937
SENS-005,2024-03-01T08:25:00,Centro,17.54,14.9,4.98,745.39,0.945,0.971
SENS-001,2027-11-21T20:06:00,Norte,17.27,13.9,5.44,749.41,0.856,0.997
SENS-004,2024-03-03T04:30:00,Oeste,15.23,12.6,8.16,744.08,0.536,0.694
SENS-003,2024-03-03T12:00:00,Este,16.22,16.1,5.2,748.45,0.884,0.815
SENS-001,2024-03-01T20:55:00,Norte,20.04,14.2,4.03,1011.06,0.84,0.865
SENS-001,2024-03-02T00:35:00,Norte,16.16,16.2,7.71,740.42,0.69,0.927
SENS-003,2024-03-02T12:20:00,Este,16.18,5.2,5.32,744.82,0.984,0.701
SENS-003,2024-03-04T03:35:00,Este,15.22,13.0,5.35,747.21,0.64,0.694
SENS-005,2024-03-07T22:05:00,Centro,17.46,16.2,10.0,746.14,0.644,0.834
SENS-001,2024-03-05T10:25:00,Norte,15.54,5.5,6.74,744.25,0.227,0.661
SENS-004,2024-03-06T19:50:00,Oeste,16.29,8.9,3.96,747.6,0.472,0.776
SENS-001,2024-03-02T02:45:00,Norte,17.72,13.1,8.06,742.46,0.836,0.829
SENS-004,2024-03-07T12:55:00,Oeste,18.22,15.5,6.31,748.97,0.813,0.859
SENS-005,2024-03-02T11:25:00,Centro,16.51,18.1,5.22,748.2,0.563,0.789
SENS-003,2024-03-05T10:00:00,Este,14.82,12.4,4.24,747.01,0.502,0.827
SENS-003,2024-03-06T22:10:00,Este,16.22,19.1,8.59,740.3,0.41,0.807
SENS-002,2024-03-05T13:35:00,Sur,18.07,6.5,5.14,739.75,0.115,0.934
SENS-001,2024-03-06T01:30:00,Norte,17.5,7.3,4.16,740.47,0.389,0.951
SENS-003,2024-03-06T00:30:00,Este,21.54,14.5,6.58,746.98,0.902,0.946
SENS-005,2024-03-06T05:45:00,Centro,18.46,14.1,1.39,743.58,0.64,0.668
SENS-002,2024-03-05T19:15:00,Sur,16.52,7.5,2.35,748.82,0.571,0.917
SENS-005,2027-12-11T06:43:00,Centro,17.33,12.2,6.02,745.01,0.297,0.687
SENS-004,2024-03-06T18:40:00,Oeste,18.58,8.3,5.5,744.53,0.917,0.651
SENS-001,2024-03-03T08:55:00,Norte,17.07,4.3,8.04,744.49,0.695,0.949
SENS-005,2024-03-03T12:30:00,Centro,18.05,16.8,7.54,746.7,0.969,0.651
SENS-005,2024-03-03T14:20:00,Centro,16.54,173.5,0.55,744.91,0.513,0.693
SENS-005,2024-03-02T01:35:00,Centro,16.27,12.0,5.59,746.15,0.635,0.915
SENS-005,2024-03-01T16:20:00,Centro,20.39,5.4,4.76,743.12,0.611,0.663
SENS-003,2024-03-06T06:35:00,Este,18.85,3.3,3.46,747.94,0.557,0.738
SENS-001,2024-03-02T07:05:00,Norte,18.08,111.0,5.01,744.84,1.135,0.786
SENS-004,2027-04-03T10:01:00,Oeste,18.02,16.5,3.83,747.23,0.669,0.691
SENS-002,2024-03-01T09:55:00,Sur,16.53,14.4,3.8,739.22,0.49,0.692
SENS-005,2024-03-02T22:05:00,Centro,18.69,3.8,9.14,748.12,0.092,0.859
SENS-003,2024-03-06T06:15:00,Este,17.82,11.2,4.03,743.02,0.694,1.723
SENS-002,2024-03-06T01:35:00,Sur,17.79,5.6,4.78,744.93,0.467,0.716
SENS-004,2024-03-07T17:00:00,Oeste,18.06,3.4,6.16,749.14,0.69,0.96
SENS-002,2024-03-05T13:20:00,Sur,20.58,3.1,5.58,744.89,0.624,0.772
SENS-001,2024-03-07T05:35:00,Norte,14.29,13.7,3.0,743.65,0.457,0.814
SENS-001,2024-03-01T09:55:00,Norte,19.57,3.2,7.67,742.46,0.769,0.986
SENS-002,2024-03-01T22:55:00,Sur,15.34,15.1,7.35,742.6,0.674,0.976
SENS-002,2024-03-05T13:05:00,Sur,15.91,13.9,2.19,742.7,0.65,0.998
SENS-001,2024-03-07T13:10:00,Norte,17.4,5.1,4.52,742.98,0.621,0.986
SENS-001,2024-03-04T13:10:00,Norte,17.3,12.6,3.1,745.71,0.675,0.969
SENS-004,2024-03-01T21:55:00,Oeste,14.93,10.9,6.05,737.95,0.685,0.742
SENS-002,2024-03-04T18:00:00,Sur,16.61,7.1,3.7,747.93,0.765,0.988
SENS-004,2024-03-05T20:55:00,Oeste,15.1,13.5,1.85,746.71,0.858,0.913
SENS-002,2024-03-02T16:35:00,Sur,15.33,18.4,3.18,743.61,0.595,0.86
SENS-002,2024-03-03T18:50:00,Sur,-999.0,10.0,5.96,753.78,0.725,0.718
SENS-002,2024-03-02T16:15:00,Sur,15.5,11.6,6.03,748.67,1.381,0.849
SENS-005,2024-03-06T18:55:00,Centro,16.01,18.4,3.81,743.33,0.46,0.828
SENS-005,2024-03-01T01:05:00,Centro,17.18,15.7,4.27,740.83,0.489,0.928
SENS-005,2024-03-02T04:55:00,Centro,15.77,7.0,7.11,746.18,0.465,0.824
,2024-03-06T17:45:00,Este,16.28,10.1,5.72,745.24,0.651,0.707
SENS-002,2024-03-03T08:30:00,Sur,17.09,14.5,5.29,745.55,0.817,0.945
SENS-001,2024-03-05T18:25:00,Norte,17.6,16.1,3.61,749.49,0.561,0.908
SENS-005,2024-03-05T11:40:00,Centro,16.77,15.8,3.05,747.57,0.577,0.817
SENS-002,2024-03-01T16:35:00,Sur,15.71,15.4,6.91,743.47,0.278,0.994
SENS-005,2024-03-02T03:20:00,Centro,14.06,16.6,7.18,745.47,0.437,0.952
SENS-002,2024-03-07T11:00:00,Sur,17.34,3.1,2.44,743.35,1.049,0.718
SENS-003,2024-03-03T17:30:00,Este,15.48,6.2,3.18,747.85,0.265,0.785
SENS-003,2024-03-06T14:40:00,Este,15.67,14.6,2.27,746.96,0.418,0.81
SENS-005,2024-03-04T23:10:00,Centro,17.26,9.7,7.65,743.17,0.558,0.874
SENS-005,2024-03-07T13:25:00,Centro,12.96,185.5,4.52,749.49,0.461,0.75
SENS-005,2024-03-03T01:45:00,Centro,16.7,9.5,2.51,744.2,0.373,0.757
SENS-002,2024-03-05T04:20:00,Sur,13.47,5.5,6.76,742.97,1.169,0.709
SENS-005,2024-03-03T10:40:00,Centro,16.6,10.0,0.46,739.63,0.459,0.99
SENS-001,2024-03-01T08:50:00,Norte,17.29,9.5,4.84,747.23,0.664,0.868
SENS-002,2024-03-01T01:30:00,Sur,17.49,8.2,7.22,740.83,0.818,0.702
SENS-004,2024-03-04T19:55:00,Oeste,17.18,13.2,4.46,743.52,0.684,2.999
SENS-004,2024-03-07T10:25:00,Oeste,18.15,6.1,2.85,747.98,1.464,0.942
SENS-003,2024-03-01T04:05:00,Este,13.91,12.5,2.73,744.29,0.51,0.688
SENS-005,2024-03-02T04:35:00,Centro,14.22,9.0,9.38,746.44,0.653,0.987
SENS-002,2024-03-04T15:15:00,Sur,15.82,7.9,6.62,737.5,0.539,0.832
SENS-001,2024-03-03T13:15:00,Norte,18.77,18.0,4.83,745.2,0.425,0.97
SENS-001,2024-03-02T19:10:00,Norte,17.95,11.7,5.75,743.37,0.64,0.662
SENS-002,2024-03-01T12:30:00,Sur,15.89,13.3,5.76,742.87,0.765,0.654
SENS-002,2024-03-06T23:35:00,Sur,16.41,13.1,4.46,742.42,0.069,0.896
SENS-004,2024-03-02T13:40:00,Oeste,19.7,13.4,2.69,747.88,1.159,0.938
SENS-001,2024-03-04T08:00:00,Norte,16.28,4.9,6.92,745.84,0.869,0.708
SENS-001,2024-03-06T14:50:00,Norte,14.4,12.5,8.43,742.01,0.709,0.791
,2024-03-06T19:00:00,Sur,18.12,11.5,4.39,746.58,0.118,0.697
SENS-003,2024-03-05T07:50:00,Este,18.3,14.6,7.01,744.56,0.709,0.931
SENS-002,2024-03-02T09:50:00,Sur,17.48,11.2,4.25,742.2,0.699,0.764
